x_m,heat_flux_W_m2,heat_flux_conv_W_m2,heat_flux_rad_W_m2,T_wg_K,T_wl_K,T_c_K,h_g_W_m2K,T_aw_K,P_c_Pa,u_c_ms,rho_c_kgm3
0.0768313353846154,7546469.739377689,6458254.59112163,1088215.1482560586,755.2112447643101,720.4145836162884,450.41979619918925,2598.9070981392724,3240.1998754643137,4129701.528098134,14.85537669298094,611.9744587430488
0.07766645859531773,7553640.45486588,6465424.129696244,1088216.3251696357,754.8320165525919,720.0025762108592,449.8900831579608,2601.3957613550715,3240.199381927399,4130484.053192706,14.93926547270722,612.9718032387518
0.07850158180602007,7561423.930439346,6473207.128136208,1088216.8023031375,754.4592108448662,719.5941971692725,449.35920226660363,2604.137242271562,3240.198834340937,4131280.175799483,15.02413597109312,613.96625055968
0.07933670501672241,7572349.957065,6484136.503399342,1088213.453665658,754.1336051826079,719.2186899196302,448.8270838660984,2608.193295637807,3240.1980062544285,4132090.1916717244,15.10999802175186,614.9579612936087
0.08017182822742476,7584201.3226995645,6495992.315413913,1088209.0072856515,753.8195625667416,718.8505271626466,448.29370655040833,2612.6331302655876,3240.197094935231,4132914.4041278395,15.196863951049112,615.9470028105351
0.0810069514381271,7598942.317868017,6510741.292318762,1088201.0255492541,753.5487101574975,718.5123809172587,447.7590050086067,2618.2810563990397,3240.195923376494,4133753.1242636675,15.28474438154652,616.9335207197115
0.08184207464882944,7614941.521553939,6526750.0083017405,1088191.5132521992,753.2948419382826,718.1854839178761,447.2229493974019,2624.4523491897935,3240.1946366008315,4134606.671196873,15.373651849269576,617.9175920303045
0.08267719785953179,7633578.617711307,6545399.873080812,1088178.7446304942,753.080135596389,717.8857247151947,446.68547883560797,2631.7259985626642,3240.1931088525826,4135475.3722994775,15.463597782249765,618.899347684183
0.08351232107023412,7653835.037244551,6565671.071939634,1088163.9653049163,752.8882364699015,717.6013932750162,446.1465544522154,2639.6746036601685,3240.191430142215,4136359.5634539425,15.554594915568996,619.8788753540938
0.08434744428093646,7676480.493331669,6588334.297719937,1088146.1956117325,752.7314828845801,717.3413202029974,445.6061198294899,2648.6212738435197,3240.189528616933,4137259.5893068435,15.646655498932086,620.8562916692159
0.0851825674916388,7701136.778161427,6613010.896417003,1088125.8817444239,752.6037872970453,717.1011434257648,445.0641264361198,2658.4074467426767,3240.1874361165173,4138175.803538344,15.73979245548743,621.8316960010332
0.08601769070234115,7727924.707537498,6639821.862671635,1088102.844865863,752.507052711569,716.8822167023786,444.52052259583365,2669.084034431405,3240.1851389079507,4139108.569137985,15.83401888570488,622.8051905424009
0.08685281391304349,7757155.833829813,6669079.174051617,1088076.6597781952,752.4462117634703,716.6880543756688,443.9752492612888,2680.7820924729954,3240.1826051006315,4140058.258689373,15.929347881189724,623.776887736178
0.08768793712374583,7788253.446680451,6700205.427057633,1088048.0196228172,752.4119943962753,716.5120166904401,443.4282597511891,2693.2598710193342,3240.179884585709,4141025.2546690954,16.025793422927457,624.7468752323914
0.08852306033444816,7822271.900008206,6734256.354243458,1088015.5457647478,752.4211479475044,716.3660479873824,442.8794835609112,2706.9604463643273,3240.176875331007,4142009.9497487172,16.12336874901282,625.715279994777
0.08935818354515052,7857876.0440116245,6769895.14866086,1087980.8953507643,752.4523120209026,716.2348745159737,442.3288794256006,2721.323692768844,3240.1736979956627,4143012.7471178668,16.222088760064167,626.6821747036049
0.09019330675585285,7896935.274194859,6808993.651020919,1087941.6231739398,752.5351294810122,716.139623320189,441.7763642082752,2737.1352854405095,3240.170171577622,4144034.060805882,16.321966809630148,627.6477026267362
0.09102842996655519,7937280.101594248,6849379.633396373,1087900.4681978745,752.6350139124113,716.0555957456402,441.2219025567304,2753.4846014414406,3240.1664966781927,4145074.3160301093,16.42301876222786,628.611920901078
0.09186355317725753,7981679.05763044,6893825.275962196,1087853.7816682444,752.7957480292421,716.0139641281917,440.66539736853724,2771.535617148731,3240.16240256798,4146133.9495399143,16.525258050206165,629.5749910677979
0.09269867638795988,8027037.454187713,6939231.924119447,1087805.5300682655,752.9681716808636,715.9796697217926,440.1068198438098,2789.9886609295427,3240.158181194199,4147213.4099911903,16.628701554521463,630.5369538877449
0.09353379959866222,8077122.870230395,6989372.17750515,1087750.692725245,753.2116719758912,715.9949413972074,439.5460574127967,2810.4285409943077,3240.1534588082886,4148313.1583158686,16.73336274357486,631.4979913403814
0.09436892280936456,8128280.879617956,7040586.869414369,1087694.010203587,753.4683795948596,716.0185588453243,438.9830781614553,2831.3197862015877,3240.148585669287,4149433.6681228727,16.839259103963702,632.4581444440294
0.0952040460200669,8183988.138099024,7096357.373328609,1087630.7647704151,753.7928432699689,716.0892415121501,438.41777303475044,2854.1260603189066,3240.143208795062,4150575.426098981,16.946405023517002,633.417582868209
0.09603916923076924,8241428.158838252,7153863.530619439,1087564.6282188124,754.1405500376068,716.1753068548423,437.8500950201631,2877.663724855329,3240.137599946241,4151738.9324353263,17.05481808102114,634.3763681512822
0.09687429244147158,8303112.838284898,7215620.746389363,1087492.0918955344,754.5506391318368,716.3044620161911,437.279941495259,2902.9917616745074,3240.1314945963522,4152924.7012627083,17.164513743256236,635.3346528521977
0.09770941565217392,8367338.63124769,7279923.281171014,1087415.350076676,754.9961548769134,716.457512784609,436.707247263521,2929.394640975297,3240.125054664644,4154133.261107241,17.27550957139281,636.2925236716636
0.09854453886287626,8435467.023196472,7348134.631188272,1087332.3920082008,755.4980412726347,716.6492116510838,436.13191707085133,2957.4479715884413,3240.118126488064,4155365.155361401,17.387822183177796,637.2501146647309
0.09937966207357861,8507063.650461152,7419819.990602644,1087243.6598585085,756.0491665466966,716.8744109069949,435.55386517617194,2986.9710432796414,3240.1107403260703,4156620.9427735507,17.501469046692396,638.2075409368649
0.10021478528428095,8582170.375417445,7495021.445021475,1087148.9303959704,756.6498153970335,717.1332118237025,434.97300491052124,3017.9839365886173,3240.102876281606,4157901.197955607,17.6164680174219,639.164916186076
0.10104990849498328,8661815.80303272,7574769.264104774,1087046.538927946,757.3154610961627,717.4364161740469,434.3892271828479,3050.9237578062807,3240.094404595982,4159206.511912134,17.732836376418863,640.1223877461944
0.10188503170568562,8744520.025316425,7657581.614565924,1086938.4107505006,758.0229325813636,717.767477865832,433.8024553206185,3085.1686873878853,3240.08546804984,4160537.4925850867,17.850593314626508,641.0800468010675
0.10272015491638797,8833000.182567574,7746179.84124745,1086820.3413201242,758.8132833872917,718.1553275293288,433.2125536718173,3121.870407294539,3240.075741671205,4161894.765429393,17.969755815457603,642.0380772209684
0.10355527812709031,8924014.673346823,7837317.811747105,1086696.861599718,759.6363807274911,718.564474008567,432.6194572162056,3159.6619865415273,3240.0655674980676,4163278.9739946164,18.090344516354985,642.9965451426086
0.10439040133779265,9022250.05524853,7935689.406036444,1086560.649212086,760.5631931308711,719.0445895025512,432.02299985503015,3200.5314038662204,3240.054379016498,4164690.780555496,18.212375963670674,643.9556761666901
0.10522552454849499,9123435.591484364,8037017.756563733,1086417.8349206308,761.5279752411834,719.5493566470042,431.42310813717785,3242.675084763826,3240.042641828291,4166130.866734676,18.33587137234658,644.9155434236187
0.10606064775919734,9231465.346305272,8145203.280242932,1086262.0660623398,762.5890972808393,720.1194610740191,430.8196253608418,3287.748955461272,3240.0298601203963,4167599.9341836884,18.46084868991397,645.876349518481
0.10689577096989968,9344003.183543554,8257906.628819935,1086096.554723618,763.7103942736869,720.7293698434815,430.2124456001144,3334.7684111555213,3240.0162754243693,4169098.7052627224,18.587328662419225,646.8382123544803
0.10773089418060201,9462856.827558257,8376938.848337325,1085917.9792209314,764.9182284563293,721.3972494747443,429.6014250677714,3384.5077169846113,3240.0016228002087,4170627.9237688486,18.715330839411205,647.8013059751734
0.10856601739130436,9588100.923851334,8502375.26500855,1085725.658842783,766.2126746462488,722.1228562789302,428.98641939932395,3437.0068290673216,3239.9858406180447,4172188.3556853314,18.84487526958223,648.7658010275047
0.1094011406020067,9719021.321469925,8633501.124252051,1085520.1972178738,767.5820642186269,722.8977846931004,428.3673003465678,3491.9700929113797,3239.9689674678452,4173780.789954495,18.975983267802366,649.7318389164299
0.11023626381270904,9858567.013551109,8773271.078542855,1085295.9350082534,769.0689217528809,723.7511976658827,427.74387894105683,3550.664257903755,3239.950548764957,4175406.039311854,19.108673949570193,650.699650950805
0.11107138702341138,10003243.75043719,8918185.653555293,1085058.0968818986,770.6203640693798,724.6460952212901,427.1160408153435,3611.609482224254,3239.93098512327,4177064.941101273,19.242970367375314,651.6693484249636
0.11190651023411373,10158744.741526697,9073948.900363337,1084795.8411633591,772.3185785964076,725.6388660580637,426.4835547877909,3677.2502137351585,3239.9094067838905,4178758.3582066605,19.378890856992683,652.6412176924754
0.11274163344481607,10320588.217712676,9236072.133075627,1084516.08463705,774.0963217755128,726.6826290036158,425.84628465539214,3745.6847647126237,3239.8863476973115,4180487.1799277896,19.516458640169102,653.6153940958055
0.1135767566555184,10492602.159836177,9408391.40388441,1084210.7559517662,776.0076023133701,727.8140714734727,425.20401752703674,3818.5676303340165,3239.861150210712,4182252.3229751675,19.655694062658274,654.5921249880141
0.11441187986622074,10674070.50326791,9590190.713935018,1083879.7893328918,778.0399823495234,729.0240453183944,424.5565579733746,3895.610868021666,3239.8337905194007,4184054.7324617314,19.796618872089482,655.571625318668
0.1152470030769231,10864872.846636087,9781350.886200992,1083521.9604350938,780.1897048242673,730.3093830890136,423.9037157949047,3976.7821739179003,3239.8041514874267,4185895.382941143,19.939255678827248,656.5540966456966
0.11608212628762543,11068920.813032454,9985793.070927786,1083127.7421046684,782.5100663754797,731.705720311608,423.2452256174381,4063.7895385491965,3239.771441799166,4187775.279546112,20.083624321721338,657.5398468744569
0.11691724949832777,11282296.900692387,10199593.920681689,1082702.9800106972,784.9428580569413,733.1726433582216,422.58090430701986,4154.970654219379,3239.736109201564,4189695.4590711324,20.22974902487348,658.5290546308586
0.1177523727090301,11511442.06456571,10429210.14863737,1082231.9159283412,787.5757977593262,734.7687888169119,421.9104455450718,4253.138386042259,3239.6968439174852,4191656.9912506333,20.377649089255204,659.5220745831185
