a1_mm,a_min_mm,a2_mm,H1_mm,H_min_mm,H2_mm,N,web_mm,max_Twg_K,max_Tc_K,Tc_out_K,delta_P_MPa
1.5,1.5,2.0,1.5,1.0,2.0,30,2.1864457158188206,1081.175394954511,489.9368273197164,489.9368273197164,0.5786772446582932
2.5,1.5,2.0,1.5,1.0,2.0,30,2.1864457158188206,1081.2018235277128,489.60205300999814,489.60205300999814,0.39420318502112756
2.0,1.5,2.0,2.0,1.0,2.0,30,2.1864457158188206,1081.2789954524621,489.652806211759,489.652806211759,0.37214226050139454
1.5,1.5,2.0,2.5,1.0,2.0,30,2.1864457158188206,1081.3523447548014,490.0905027461145,490.0905027461145,0.3710803400479504
2.5,1.5,2.0,2.0,1.0,2.0,30,2.1864457158188206,1081.7883463154742,489.0812248480114,489.0812248480114,0.3348625776628703
2.0,1.5,2.0,2.5,1.0,2.0,30,2.1864457158188206,1081.9306683585726,489.33412326054975,489.33412326054975,0.3270477544965474
2.5,1.5,2.0,2.5,1.0,2.0,30,2.1864457158188206,1082.5798150458324,488.6679290367296,488.6679290367296,0.2999335315758316
2.0,1.5,2.0,2.0,1.5,2.0,40,1.2648342868641156,1113.5231560309194,489.80703347249033,489.80703347249033,0.12804506244130245
2.0,1.5,2.0,2.5,1.5,2.0,40,1.2648342868641156,1113.5231560309194,489.5392400440708,489.5392400440708,0.112697053558168
1.5,1.5,2.0,2.0,1.5,2.0,40,1.2648342868641156,1113.5231560309194,490.54507758699793,490.54507758699793,0.15498051174017413
1.5,1.5,2.0,1.5,1.5,2.0,40,1.2648342868641156,1113.5231560309194,490.7841160380521,490.7841160380521,0.19609639173042215
1.5,1.5,2.0,2.5,1.5,2.0,40,1.2648342868641156,1113.5231560309194,490.3580778888795,490.3580778888795,0.1321448920630822
2.0,1.5,2.0,1.5,1.5,2.0,40,1.2648342868641156,1113.5231560309194,490.15466258692425,490.15466258692425,0.15495899967198445
2.5,1.5,2.0,1.5,1.5,2.0,40,1.2648342868641156,1113.5231560309194,489.6076942462796,489.6076942462796,0.1321205253072232
2.5,1.5,2.0,2.0,1.5,2.0,40,1.2648342868641156,1113.5660222675403,489.16361803388867,489.16361803388867,0.11269128206769004
2.5,1.5,2.0,2.5,1.5,2.0,40,1.2648342868641156,1113.7764735542144,488.81982529137275,488.81982529137275,0.10137637577900477
1.5,1.5,2.0,2.0,1.5,2.0,30,2.1864457158188206,1136.5641952553408,489.1542374841203,489.1542374841203,0.25835475685582404
2.0,1.5,2.0,1.5,1.5,2.0,30,2.1864457158188206,1136.5641952553408,488.73230477891303,488.73230477891303,0.2583168007927295
1.5,1.5,2.0,2.5,1.5,2.0,30,2.1864457158188206,1136.5641952553408,488.96934173102005,488.96934173102005,0.22011653172934706
1.5,1.5,2.0,1.5,1.5,2.0,30,2.1864457158188206,1136.5641952553408,489.38491216635333,489.38491216635333,0.32723992279913416
2.0,1.5,2.0,2.0,1.5,2.0,30,2.1864457158188206,1136.5641952553408,488.3768791646254,488.3768791646254,0.2132616407195572
2.0,1.5,2.0,2.5,1.5,2.0,30,2.1864457158188206,1136.5641952553408,488.1016105305245,488.1016105305245,0.18757873257700727
2.5,1.5,2.0,1.5,1.5,2.0,30,2.1864457158188206,1136.5641952553408,488.1583069035288,488.1583069035288,0.22007340786336363
2.5,1.5,2.0,2.0,1.5,2.0,30,2.1864457158188206,1136.5641952553408,487.696080188097,487.696080188097,0.18756843541074916
2.5,1.5,2.0,2.5,1.5,2.0,30,2.1864457158188206,1136.759639400732,487.3381352447402,487.3381352447402,0.16864458426662815
